Channel 1,Channel 2,Channel 3,Channel 4
0.000,23.200,1002.600,47.800
1.000,23.330,1002.600,46.150
0.000,23.200,1002.600,47.570
1.000,23.340,1002.610,46.050
0.000,23.200,1002.610,47.410
1.000,23.350,1002.600,46.000
0.000,23.200,1002.590,47.370
1.000,23.370,1002.610,47.090
0.000,23.200,1002.600,47.400
1.000,23.390,1002.600,46.990
0.000,23.200,1002.600,47.720
1.000,23.400,1002.610,47.190
0.000,23.200,1002.600,48.420
1.000,23.410,1002.620,46.880
0.000,23.200,1002.590,48.510
1.000,23.430,1002.620,49.110
0.000,23.200,1002.590,48.170
1.000,23.430,1002.620,49.110
0.000,23.200,1002.600,48.230
1.000,23.450,1002.630,49.630
0.000,23.210,1002.620,48.220
1.000,23.460,1002.600,49.790
0.000,23.210,1002.590,48.240
1.000,23.480,1002.630,49.780
0.000,23.210,1002.610,48.380
1.000,23.490,1002.640,50.110
0.000,23.210,1002.610,48.380
1.000,23.500,1002.650,49.840
0.000,23.200,1002.580,48.050
1.000,23.510,1002.620,48.880
0.000,23.210,1002.640,47.760
1.000,23.530,1002.630,48.460
0.000,23.210,1002.620,47.520
1.000,23.540,1002.630,48.540
0.000,23.200,1002.610,47.410
1.000,23.540,1002.660,48.240
0.000,23.200,1002.600,47.410
1.000,23.550,1002.640,47.750
0.000,23.200,1002.600,47.420
1.000,23.560,1002.640,47.070
0.000,23.210,1002.600,47.560
1.000,23.570,1002.610,46.510
0.000,23.210,1002.610,48.370
1.000,23.580,1002.610,46.390
0.000,23.210,1002.600,49.060
1.000,23.580,1002.620,46.450
0.000,23.210,1002.590,49.000
1.000,23.580,1002.620,46.450
0.000,23.210,1002.600,48.670
1.000,23.600,1002.590,46.840
0.000,23.210,1002.600,48.330
1.000,23.610,1002.580,46.870
0.000,23.210,1002.620,48.060
1.000,23.610,1002.590,46.650
0.000,23.220,1002.610,48.050
1.000,23.610,1002.590,45.670
0.000,23.220,1002.620,48.010
1.000,23.610,1002.590,45.250
0.000,23.220,1002.620,48.010
1.000,23.620,1002.610,44.920
0.000,23.220,1002.600,47.850
1.000,23.630,1002.600,44.870
0.000,23.220,1002.600,47.920
1.000,23.630,1002.590,44.920
0.000,23.220,1002.590,48.110
1.000,23.640,1002.590,44.870
0.000,23.220,1002.620,48.010
1.000,23.640,1002.580,44.800
0.000,23.210,1002.590,47.880
1.000,23.650,1002.590,44.720
0.000,23.210,1002.570,47.720
1.000,23.650,1002.560,44.680
