Channel 1,Channel 2,Channel 3,Channel 4
0.000,23.470,1002.490,48.240
1.000,24.950,1002.480,42.940
0.000,23.480,1002.500,48.180
1.000,24.940,1002.460,43.010
0.000,23.470,1002.490,48.030
1.000,24.940,1002.460,42.980
0.000,23.480,1002.510,48.300
1.000,24.940,1002.470,42.980
0.000,23.480,1002.510,48.440
1.000,24.940,1002.500,42.990
0.000,23.470,1002.490,48.240
1.000,24.940,1002.530,42.980
0.000,23.470,1002.490,48.340
1.000,24.940,1002.490,42.980
0.000,23.480,1002.510,48.800
1.000,24.940,1002.490,42.980
0.000,23.480,1002.510,48.880
1.000,24.940,1002.520,42.970
0.000,23.480,1002.490,48.580
1.000,24.940,1002.480,42.950
0.000,23.480,1002.500,48.580
1.000,24.930,1002.490,42.950
0.000,23.480,1002.500,48.580
1.000,24.940,1002.480,42.930
0.000,23.470,1002.470,48.350
1.000,24.940,1002.490,42.900
0.000,23.480,1002.510,48.200
1.000,24.940,1002.470,42.850
0.000,23.480,1002.470,48.170
1.000,24.940,1002.470,42.850
0.000,23.480,1002.480,48.160
1.000,24.930,1002.470,42.820
0.000,23.480,1002.480,48.060
1.000,24.930,1002.480,42.800
0.000,23.480,1002.480,48.100
1.000,24.940,1002.480,42.780
0.000,23.480,1002.450,48.670
1.000,24.930,1002.480,42.800
0.000,23.480,1002.520,49.290
1.000,24.930,1002.490,42.820
0.000,23.470,1002.480,49.250
1.000,24.930,1002.500,42.850
0.000,23.480,1002.490,48.950
1.000,24.930,1002.480,42.880
0.000,23.480,1002.490,48.610
1.000,24.940,1002.510,42.850
0.000,23.480,1002.470,48.310
1.000,24.940,1002.460,42.820
0.000,23.480,1002.490,48.130
1.000,24.930,1002.460,42.790
0.000,23.490,1002.500,48.070
1.000,24.940,1002.500,42.790
0.000,23.490,1002.520,48.210
1.000,24.930,1002.470,42.770
0.000,23.490,1002.520,48.210
1.000,24.930,1002.480,42.730
0.000,23.490,1002.520,48.390
1.000,24.930,1002.420,42.720
0.000,23.490,1002.460,48.440
1.000,24.930,1002.420,42.720
0.000,23.490,1002.500,48.440
1.000,24.930,1002.500,42.730
0.000,23.490,1002.500,48.380
1.000,24.930,1002.500,42.760
